<TICKER>,<DATE>,<CLOSE>
AFLT,24/12/09,52.15
AFLT,25/12/09,50.16
AFLT,26/12/09,49.48
AFLT,29/12/09,50.03
AFLT,30/12/09,51.54
AFLT,31/12/09,53.14
AFLT,01/01/10,52.5
AFLT,12/01/10,54.26
AFLT,13/01/10,54.25
AFLT,14/01/10,53.5
AFLT,15/01/10,54.6
AFLT,16/01/10,54.65
AFLT,19/01/10,54.5
AFLT,20/01/10,54.87
AFLT,21/01/10,54.99
AFLT,22/01/10,54.9
AFLT,23/01/10,52.14
AFLT,26/01/10,52.48
AFLT,27/01/10,52.54
AFLT,28/01/10,53.8
AFLT,29/01/10,54.65
AFLT,30/01/10,56.48
AFLT,02/02/10,56.51
AFLT,03/02/10,57.01
AFLT,04/02/10,56.35
AFLT,05/02/10,54.38
AFLT,06/02/10,52.51
AFLT,09/02/10,51.19
AFLT,10/02/10,52.3
AFLT,11/02/10,51.0
AFLT,12/02/10,51.54
AFLT,13/02/10,50.38
AFLT,16/02/10,51.03
AFLT,17/02/10,54.01
AFLT,18/02/10,56.59
AFLT,19/02/10,55.7
AFLT,20/02/10,55.0
AFLT,25/02/10,55.75
AFLT,26/02/10,54.77
AFLT,27/02/10,55.4
AFLT,28/02/10,55.5
AFLT,02/03/10,55.25
AFLT,03/03/10,54.85
AFLT,04/03/10,55.1
AFLT,05/03/10,54.8
AFLT,06/03/10,55.05
AFLT,10/03/10,54.47
AFLT,11/03/10,54.36
AFLT,12/03/10,54.25
AFLT,13/03/10,55.55
AFLT,16/03/10,55.19
AFLT,17/03/10,56.34
AFLT,18/03/10,57.15
AFLT,19/03/10,59.62
AFLT,20/03/10,60.3
AFLT,23/03/10,59.91
AFLT,24/03/10,61.34
AFLT,25/03/10,61.3
AFLT,26/03/10,61.9
AFLT,27/03/10,63.99
AFLT,30/03/10,64.4
AFLT,31/03/10,65.7
AFLT,01/04/10,68.01
AFLT,02/04/10,67.99
AFLT,03/04/10,68.85
AFLT,06/04/10,68.35
AFLT,07/04/10,70.13
AFLT,08/04/10,68.93
AFLT,09/04/10,66.7
AFLT,10/04/10,67.67
AFLT,13/04/10,66.3
AFLT,14/04/10,66.4
AFLT,15/04/10,66.7
AFLT,16/04/10,65.3
AFLT,17/04/10,65.0
AFLT,20/04/10,62.2
AFLT,21/04/10,64.0
AFLT,22/04/10,63.05
AFLT,23/04/10,62.7
AFLT,24/04/10,62.99
AFLT,27/04/10,64.0
AFLT,28/04/10,62.7
AFLT,29/04/10,61.05
AFLT,30/04/10,63.0
AFLT,01/05/10,62.17
AFLT,05/05/10,59.81
AFLT,06/05/10,58.1
AFLT,07/05/10,58.32
AFLT,08/05/10,54.37
AFLT,12/05/10,55.8
AFLT,13/05/10,59.7
AFLT,14/05/10,60.2
AFLT,15/05/10,58.7
AFLT,18/05/10,59.0
AFLT,19/05/10,59.9
AFLT,20/05/10,58.3
AFLT,21/05/10,57.11
AFLT,22/05/10,56.45
AFLT,25/05/10,56.08
AFLT,26/05/10,53.06
AFLT,27/05/10,56.7
AFLT,28/05/10,56.77
AFLT,29/05/10,56.17
AFLT,01/06/10,57.1
AFLT,02/06/10,57.4
AFLT,03/06/10,60.45
AFLT,04/06/10,61.51
AFLT,05/06/10,60.2
AFLT,08/06/10,58.72
AFLT,09/06/10,58.5
AFLT,10/06/10,58.77
AFLT,11/06/10,59.0
AFLT,12/06/10,59.16
AFLT,16/06/10,61.39
AFLT,17/06/10,60.93
AFLT,18/06/10,61.8
AFLT,19/06/10,62.4
AFLT,22/06/10,63.49
AFLT,23/06/10,62.3
AFLT,24/06/10,60.51
AFLT,25/06/10,60.78
AFLT,26/06/10,59.69
AFLT,29/06/10,59.5
AFLT,30/06/10,56.03
AFLT,01/07/10,57.34
AFLT,02/07/10,54.77
AFLT,03/07/10,55.69
AFLT,06/07/10,57.05
AFLT,07/07/10,58.8
AFLT,08/07/10,59.02
AFLT,09/07/10,59.77
AFLT,10/07/10,61.22
AFLT,13/07/10,61.52
AFLT,14/07/10,62.15
AFLT,15/07/10,62.43
AFLT,16/07/10,62.23
AFLT,17/07/10,62.39
AFLT,20/07/10,62.27
AFLT,21/07/10,61.79
AFLT,22/07/10,61.85
AFLT,23/07/10,61.4
AFLT,24/07/10,61.75
AFLT,27/07/10,61.48
AFLT,28/07/10,60.75
AFLT,29/07/10,59.9
AFLT,30/07/10,60.44
AFLT,31/07/10,60.68
AFLT,03/08/10,61.45
AFLT,04/08/10,63.5
AFLT,05/08/10,63.15
AFLT,06/08/10,63.0
AFLT,07/08/10,62.47
AFLT,10/08/10,62.65
AFLT,11/08/10,62.0
AFLT,12/08/10,60.0
AFLT,13/08/10,59.5
AFLT,14/08/10,60.5
AFLT,17/08/10,60.27
AFLT,18/08/10,61.35
AFLT,19/08/10,61.0
AFLT,20/08/10,60.98
AFLT,21/08/10,60.47
AFLT,24/08/10,60.4
AFLT,25/08/10,59.47
AFLT,26/08/10,58.21
AFLT,27/08/10,59.17
AFLT,28/08/10,61.38
AFLT,31/08/10,61.0
AFLT,01/09/10,61.1
AFLT,02/09/10,63.2
AFLT,03/09/10,62.75
AFLT,04/09/10,63.0
AFLT,07/09/10,63.0
AFLT,08/09/10,62.7
AFLT,09/09/10,63.35
AFLT,10/09/10,63.5
AFLT,11/09/10,63.62
AFLT,14/09/10,63.75
AFLT,15/09/10,65.82
AFLT,16/09/10,66.43
AFLT,17/09/10,66.8
AFLT,18/09/10,67.99
AFLT,21/09/10,66.15
AFLT,22/09/10,65.6
AFLT,23/09/10,65.1
AFLT,24/09/10,64.65
AFLT,25/09/10,65.92
AFLT,28/09/10,65.3
AFLT,29/09/10,65.0
AFLT,30/09/10,65.23
AFLT,01/10/10,66.63
AFLT,02/10/10,66.97
AFLT,05/10/10,67.1
AFLT,06/10/10,65.48
AFLT,07/10/10,65.5
AFLT,08/10/10,65.5
AFLT,09/10/10,66.0
AFLT,12/10/10,66.57
AFLT,13/10/10,66.45
AFLT,14/10/10,69.5
AFLT,15/10/10,68.72
AFLT,16/10/10,69.98
AFLT,19/10/10,70.86
AFLT,20/10/10,74.6
AFLT,21/10/10,74.81
AFLT,22/10/10,74.76
AFLT,23/10/10,74.3
AFLT,26/10/10,73.99
AFLT,27/10/10,73.4
AFLT,28/10/10,73.45
AFLT,29/10/10,73.24
AFLT,30/10/10,76.8
AFLT,02/11/10,76.8
AFLT,03/11/10,76.25
AFLT,04/11/10,76.76
AFLT,09/11/10,77.23
AFLT,10/11/10,77.0
AFLT,11/11/10,75.66
AFLT,12/11/10,75.8
AFLT,13/11/10,74.68
AFLT,14/11/10,75.2
AFLT,16/11/10,75.46
AFLT,17/11/10,75.17
AFLT,18/11/10,75.19
AFLT,19/11/10,78.8
AFLT,20/11/10,79.1
AFLT,23/11/10,79.3
AFLT,24/11/10,78.4
AFLT,25/11/10,79.6
AFLT,26/11/10,81.3
AFLT,27/11/10,81.5
AFLT,30/11/10,80.3
AFLT,01/12/10,80.0
AFLT,02/12/10,79.2
AFLT,03/12/10,80.68
AFLT,04/12/10,82.39
AFLT,07/12/10,83.9
AFLT,08/12/10,84.0
AFLT,09/12/10,83.7
AFLT,10/12/10,83.99
AFLT,11/12/10,80.7
AFLT,14/12/10,82.1
AFLT,15/12/10,82.08
AFLT,16/12/10,81.35
AFLT,17/12/10,80.71
AFLT,18/12/10,80.75
AFLT,21/12/10,80.57
AFLT,22/12/10,80.38
AFLT,23/12/10,80.29
AFLT,24/12/10,80.8
AFLT,25/12/10,80.15
AFLT,28/12/10,79.47
AFLT,29/12/10,78.3
AFLT,30/12/10,77.4
AFLT,31/12/10,79.99
AFLT,12/01/11,81.51
AFLT,13/01/11,81.55
AFLT,14/01/11,81.45
AFLT,15/01/11,81.79
AFLT,18/01/11,81.0
AFLT,19/01/11,80.19
AFLT,20/01/11,79.98
AFLT,21/01/11,78.82
AFLT,22/01/11,79.5
AFLT,25/01/11,78.03
AFLT,26/01/11,79.0
AFLT,27/01/11,78.52
AFLT,28/01/11,77.8
AFLT,29/01/11,76.6
AFLT,01/02/11,77.7
AFLT,02/02/11,77.8
AFLT,03/02/11,77.2
AFLT,04/02/11,77.5
AFLT,05/02/11,78.0
AFLT,08/02/11,78.45
AFLT,09/02/11,77.5
AFLT,10/02/11,76.59
AFLT,11/02/11,74.72
AFLT,12/02/11,73.8
AFLT,15/02/11,72.95
AFLT,16/02/11,72.92
AFLT,17/02/11,72.4
AFLT,18/02/11,73.33
AFLT,19/02/11,72.7
AFLT,22/02/11,72.29
AFLT,23/02/11,70.3
AFLT,25/02/11,70.0
AFLT,26/02/11,71.25
AFLT,01/03/11,73.18
AFLT,02/03/11,74.4
AFLT,03/03/11,74.6
AFLT,04/03/11,73.71
AFLT,05/03/11,74.15
AFLT,06/03/11,74.62
AFLT,10/03/11,74.11
AFLT,11/03/11,73.7
AFLT,12/03/11,74.13
AFLT,15/03/11,75.0
AFLT,16/03/11,76.59
AFLT,17/03/11,78.49
AFLT,18/03/11,76.48
AFLT,19/03/11,74.8
AFLT,22/03/11,74.21
AFLT,23/03/11,73.26
AFLT,24/03/11,74.5
AFLT,25/03/11,73.69
AFLT,26/03/11,73.3
AFLT,29/03/11,73.4
AFLT,30/03/11,72.2
AFLT,31/03/11,72.1
AFLT,01/04/11,73.16
AFLT,02/04/11,72.56
AFLT,05/04/11,72.71
AFLT,06/04/11,72.6
AFLT,07/04/11,72.82
AFLT,08/04/11,72.6
AFLT,09/04/11,73.02
AFLT,12/04/11,72.58
AFLT,13/04/11,72.1
AFLT,14/04/11,72.2
AFLT,15/04/11,72.69
AFLT,16/04/11,72.5
AFLT,19/04/11,68.12
AFLT,20/04/11,70.16
AFLT,21/04/11,71.3
AFLT,22/04/11,70.3
AFLT,23/04/11,70.14
AFLT,26/04/11,68.9
AFLT,27/04/11,68.27
AFLT,28/04/11,67.12
AFLT,29/04/11,68.9
AFLT,30/04/11,68.52
AFLT,04/05/11,67.2
AFLT,05/05/11,65.3
AFLT,06/05/11,64.99
AFLT,07/05/11,67.0
AFLT,11/05/11,67.2
AFLT,12/05/11,68.8
AFLT,13/05/11,69.3
AFLT,14/05/11,68.3
AFLT,17/05/11,68.33
AFLT,18/05/11,69.15
AFLT,19/05/11,69.5
AFLT,20/05/11,69.4
AFLT,21/05/11,68.73
AFLT,24/05/11,66.6
AFLT,25/05/11,67.73
AFLT,26/05/11,68.94
AFLT,27/05/11,69.11
AFLT,28/05/11,70.1
AFLT,31/05/11,72.66
AFLT,01/06/11,72.77
AFLT,02/06/11,71.25
AFLT,03/06/11,72.15
AFLT,04/06/11,71.0
AFLT,07/06/11,70.87
AFLT,08/06/11,71.29
AFLT,09/06/11,71.55
AFLT,10/06/11,71.88
AFLT,11/06/11,71.52
AFLT,15/06/11,71.3
AFLT,16/06/11,70.6
AFLT,17/06/11,70.4
AFLT,18/06/11,69.67
AFLT,21/06/11,69.49
AFLT,22/06/11,69.85
AFLT,23/06/11,69.6
AFLT,24/06/11,68.01
AFLT,25/06/11,68.88
AFLT,28/06/11,68.0
AFLT,29/06/11,68.0
AFLT,30/06/11,69.0
AFLT,01/07/11,69.25
AFLT,02/07/11,69.25
AFLT,05/07/11,71.91
AFLT,06/07/11,70.89
AFLT,07/07/11,70.96
AFLT,08/07/11,71.46
AFLT,09/07/11,71.75
AFLT,12/07/11,70.91
AFLT,13/07/11,70.42
AFLT,14/07/11,70.29
AFLT,15/07/11,70.08
AFLT,16/07/11,69.49
AFLT,19/07/11,68.74
AFLT,20/07/11,69.17
AFLT,21/07/11,69.3
AFLT,22/07/11,69.65
AFLT,23/07/11,70.02
AFLT,26/07/11,69.92
AFLT,27/07/11,71.03
AFLT,28/07/11,70.5
AFLT,29/07/11,70.05
AFLT,30/07/11,70.08
AFLT,02/08/11,70.73
AFLT,03/08/11,70.7
AFLT,04/08/11,68.48
AFLT,05/08/11,66.21
AFLT,06/08/11,64.5
AFLT,09/08/11,59.9
AFLT,10/08/11,58.6
AFLT,11/08/11,56.11
AFLT,12/08/11,56.9
AFLT,13/08/11,57.99
AFLT,16/08/11,58.8
AFLT,17/08/11,56.89
AFLT,18/08/11,57.77
AFLT,19/08/11,55.55
AFLT,20/08/11,53.29
AFLT,23/08/11,51.88
AFLT,24/08/11,51.0
AFLT,25/08/11,50.8
AFLT,26/08/11,50.21
AFLT,27/08/11,49.57
AFLT,30/08/11,53.8
AFLT,31/08/11,54.3
AFLT,01/09/11,56.87
AFLT,02/09/11,58.01
AFLT,03/09/11,57.17
AFLT,06/09/11,55.1
AFLT,07/09/11,56.33
AFLT,08/09/11,58.4
AFLT,09/09/11,59.12
AFLT,10/09/11,59.0
AFLT,13/09/11,55.99
AFLT,14/09/11,56.43
AFLT,15/09/11,56.11
AFLT,16/09/11,57.19
AFLT,17/09/11,57.5
AFLT,20/09/11,57.16
AFLT,21/09/11,57.52
AFLT,22/09/11,56.88
AFLT,23/09/11,52.46
AFLT,24/09/11,48.92
AFLT,27/09/11,49.5
AFLT,28/09/11,50.98
AFLT,29/09/11,49.73
AFLT,30/09/11,51.85
AFLT,01/10/11,52.25
AFLT,04/10/11,50.77
AFLT,05/10/11,48.31
AFLT,06/10/11,48.79
AFLT,07/10/11,49.89
AFLT,08/10/11,50.77
AFLT,11/10/11,51.99
AFLT,12/10/11,51.5
AFLT,13/10/11,52.46
AFLT,14/10/11,51.77
AFLT,15/10/11,52.73
AFLT,18/10/11,52.02
AFLT,19/10/11,51.98
AFLT,20/10/11,52.0
AFLT,21/10/11,50.95
AFLT,22/10/11,51.12
AFLT,25/10/11,52.28
AFLT,26/10/11,50.7
AFLT,27/10/11,51.0
AFLT,28/10/11,53.84
AFLT,29/10/11,57.19
AFLT,01/11/11,56.55
AFLT,02/11/11,54.48
AFLT,03/11/11,53.2
AFLT,04/11/11,52.27
AFLT,08/11/11,52.5
AFLT,09/11/11,52.9
AFLT,10/11/11,51.0
AFLT,11/11/11,52.05
AFLT,12/11/11,51.62
AFLT,15/11/11,52.8
AFLT,16/11/11,51.2
AFLT,17/11/11,51.88
AFLT,18/11/11,51.0
AFLT,19/11/11,50.74
AFLT,22/11/11,50.0
AFLT,23/11/11,49.9
AFLT,24/11/11,50.0
AFLT,25/11/11,50.0
AFLT,26/11/11,49.75
AFLT,29/11/11,50.7
AFLT,30/11/11,50.0
AFLT,01/12/11,50.43
AFLT,02/12/11,50.75
AFLT,03/12/11,50.58
AFLT,06/12/11,50.55
AFLT,07/12/11,49.0
AFLT,08/12/11,48.96
AFLT,09/12/11,48.67
AFLT,10/12/11,47.14
AFLT,13/12/11,45.9
AFLT,14/12/11,45.94
AFLT,15/12/11,45.41
AFLT,16/12/11,45.06
AFLT,17/12/11,44.95
AFLT,20/12/11,44.82
AFLT,21/12/11,45.11
AFLT,22/12/11,44.9
AFLT,23/12/11,44.49
AFLT,24/12/11,44.0
AFLT,27/12/11,45.2
AFLT,28/12/11,45.45
AFLT,29/12/11,46.52
AFLT,30/12/11,47.88
AFLT,31/12/11,50.22
AFLT,04/01/12,50.99
AFLT,05/01/12,52.27
AFLT,06/01/12,50.88
AFLT,07/01/12,50.51
AFLT,10/01/12,50.58
AFLT,11/01/12,50.62
AFLT,12/01/12,50.65
AFLT,13/01/12,50.38
AFLT,14/01/12,50.19
AFLT,17/01/12,49.74
AFLT,18/01/12,50.15
AFLT,19/01/12,50.16
AFLT,20/01/12,50.43
AFLT,21/01/12,50.15
AFLT,24/01/12,50.5
AFLT,25/01/12,49.91
AFLT,26/01/12,50.05
AFLT,27/01/12,50.45
AFLT,28/01/12,50.1
AFLT,31/01/12,50.05
AFLT,01/02/12,50.01
AFLT,02/02/12,50.47
AFLT,03/02/12,50.73
AFLT,04/02/12,51.15
AFLT,07/02/12,51.12
AFLT,08/02/12,50.5
AFLT,09/02/12,50.5
AFLT,10/02/12,50.65
AFLT,11/02/12,50.45
AFLT,14/02/12,51.07
AFLT,15/02/12,53.31
AFLT,16/02/12,53.76
AFLT,17/02/12,54.17
AFLT,18/02/12,55.45
AFLT,21/02/12,54.78
AFLT,22/02/12,52.6
AFLT,23/02/12,50.99
AFLT,25/02/12,52.68
AFLT,28/02/12,51.09
AFLT,29/02/12,50.75
AFLT,01/03/12,50.6
AFLT,02/03/12,50.29
AFLT,03/03/12,50.3
AFLT,06/03/12,50.68
AFLT,07/03/12,49.01
AFLT,08/03/12,49.24
AFLT,12/03/12,50.23
AFLT,13/03/12,49.41
AFLT,14/03/12,49.97
AFLT,15/03/12,49.68
AFLT,16/03/12,49.47
AFLT,17/03/12,49.5
AFLT,20/03/12,48.35
AFLT,21/03/12,47.4
AFLT,22/03/12,46.9
AFLT,23/03/12,46.89
AFLT,24/03/12,47.96
AFLT,27/03/12,48.19
AFLT,28/03/12,48.25
AFLT,29/03/12,47.32
AFLT,30/03/12,46.42
AFLT,31/03/12,47.58
AFLT,03/04/12,47.74
AFLT,04/04/12,48.0
AFLT,05/04/12,46.89
AFLT,06/04/12,47.2
AFLT,07/04/12,46.52
AFLT,10/04/12,46.7
AFLT,11/04/12,46.3
AFLT,12/04/12,47.5
AFLT,13/04/12,47.95
AFLT,14/04/12,49.5
AFLT,17/04/12,48.79
AFLT,18/04/12,48.72
AFLT,19/04/12,47.69
AFLT,20/04/12,48.44
AFLT,21/04/12,48.6
AFLT,24/04/12,47.36
AFLT,25/04/12,46.5
AFLT,26/04/12,47.43
AFLT,27/04/12,46.71
AFLT,28/04/12,47.17
AFLT,29/04/12,48.8
AFLT,03/05/12,48.1
AFLT,04/05/12,48.18
AFLT,05/05/12,47.45
AFLT,06/05/12,47.01
AFLT,08/05/12,45.95
AFLT,09/05/12,45.8
AFLT,11/05/12,46.1
AFLT,12/05/12,45.37
AFLT,13/05/12,45.2
AFLT,15/05/12,43.76
AFLT,16/05/12,42.96
AFLT,17/05/12,42.05
AFLT,18/05/12,40.72
AFLT,19/05/12,39.93
AFLT,22/05/12,40.92
AFLT,23/05/12,41.21
AFLT,24/05/12,39.32
AFLT,25/05/12,40.67
AFLT,26/05/12,40.9
AFLT,29/05/12,41.1
AFLT,30/05/12,42.13
AFLT,31/05/12,41.67
AFLT,01/06/12,43.9
AFLT,02/06/12,41.95
AFLT,05/06/12,42.34
AFLT,06/06/12,43.24
AFLT,07/06/12,45.3
AFLT,08/06/12,44.8
AFLT,09/06/12,44.49
AFLT,10/06/12,44.51
AFLT,14/06/12,44.75
AFLT,15/06/12,44.65
AFLT,16/06/12,44.53
AFLT,19/06/12,45.47
AFLT,20/06/12,45.15
AFLT,21/06/12,44.26
AFLT,22/06/12,43.5
AFLT,23/06/12,42.5
AFLT,26/06/12,42.13
AFLT,27/06/12,42.5
AFLT,28/06/12,42.55
AFLT,29/06/12,42.23
AFLT,30/06/12,43.41
AFLT,03/07/12,43.5
AFLT,04/07/12,44.33
AFLT,05/07/12,44.3
AFLT,06/07/12,43.9
AFLT,07/07/12,43.0
AFLT,10/07/12,43.32
AFLT,11/07/12,44.1
AFLT,12/07/12,43.42
AFLT,13/07/12,43.08
AFLT,14/07/12,43.65
AFLT,17/07/12,43.74
AFLT,18/07/12,43.98
AFLT,19/07/12,43.8
AFLT,20/07/12,44.0
AFLT,21/07/12,43.35
AFLT,24/07/12,42.22
AFLT,25/07/12,42.2
AFLT,26/07/12,42.05
AFLT,27/07/12,41.85
AFLT,28/07/12,42.19
AFLT,31/07/12,42.4
AFLT,01/08/12,41.78
AFLT,02/08/12,41.63
AFLT,03/08/12,40.96
AFLT,04/08/12,41.55
AFLT,07/08/12,42.26
AFLT,08/08/12,42.4
AFLT,09/08/12,42.07
AFLT,10/08/12,42.05
AFLT,11/08/12,41.76
AFLT,14/08/12,42.19
AFLT,15/08/12,41.6
AFLT,16/08/12,41.35
AFLT,17/08/12,41.7
AFLT,18/08/12,43.67
AFLT,21/08/12,42.75
AFLT,22/08/12,43.5
AFLT,23/08/12,43.47
AFLT,24/08/12,43.01
AFLT,25/08/12,43.0
AFLT,28/08/12,43.75
AFLT,29/08/12,43.6
AFLT,30/08/12,43.39
AFLT,31/08/12,42.62
AFLT,01/09/12,42.6
AFLT,04/09/12,42.71
AFLT,05/09/12,42.69
AFLT,06/09/12,42.6
AFLT,07/09/12,42.66
AFLT,08/09/12,43.3
AFLT,11/09/12,43.4
AFLT,12/09/12,43.39
AFLT,13/09/12,43.48
AFLT,14/09/12,43.34
AFLT,15/09/12,45.0
AFLT,18/09/12,44.95
AFLT,19/09/12,44.7
AFLT,20/09/12,44.48
AFLT,21/09/12,45.01
AFLT,22/09/12,43.99
AFLT,25/09/12,43.57
AFLT,26/09/12,43.45
AFLT,27/09/12,42.75
AFLT,28/09/12,43.2
AFLT,29/09/12,43.45
AFLT,02/10/12,43.8
AFLT,03/10/12,43.36
AFLT,04/10/12,43.57
AFLT,05/10/12,43.26
AFLT,06/10/12,43.44
AFLT,09/10/12,43.35
AFLT,10/10/12,43.17
AFLT,11/10/12,43.25
AFLT,12/10/12,43.26
AFLT,13/10/12,43.1
AFLT,16/10/12,42.35
AFLT,17/10/12,42.5
AFLT,18/10/12,42.78
AFLT,19/10/12,42.42
AFLT,20/10/12,42.25
AFLT,23/10/12,42.07
AFLT,24/10/12,40.57
AFLT,25/10/12,40.01
AFLT,26/10/12,40.25
AFLT,27/10/12,39.56
AFLT,30/10/12,39.41
AFLT,31/10/12,38.9
AFLT,01/11/12,39.91
AFLT,02/11/12,40.47
AFLT,03/11/12,40.5
AFLT,07/11/12,41.5
AFLT,08/11/12,41.78
AFLT,09/11/12,41.32
AFLT,10/11/12,40.7
AFLT,13/11/12,40.71
AFLT,14/11/12,39.74
AFLT,15/11/12,40.99
AFLT,16/11/12,41.87
AFLT,17/11/12,42.39
AFLT,20/11/12,42.3
AFLT,21/11/12,41.98
AFLT,22/11/12,42.16
AFLT,23/11/12,42.55
AFLT,24/11/12,42.89
AFLT,27/11/12,42.57
AFLT,28/11/12,42.96
AFLT,29/11/12,42.4
AFLT,30/11/12,42.75
AFLT,01/12/12,42.86
AFLT,04/12/12,42.99
AFLT,05/12/12,43.1
AFLT,06/12/12,43.72
AFLT,07/12/12,43.32
AFLT,08/12/12,42.9
AFLT,11/12/12,43.15
AFLT,12/12/12,43.5
AFLT,13/12/12,43.47
AFLT,14/12/12,43.39
AFLT,15/12/12,43.57
AFLT,18/12/12,43.53
AFLT,19/12/12,43.22
AFLT,20/12/12,43.07
AFLT,21/12/12,42.6
AFLT,22/12/12,42.99
AFLT,25/12/12,42.99
AFLT,26/12/12,42.96
AFLT,27/12/12,43.25
AFLT,28/12/12,43.7
AFLT,29/12/12,44.99
AFLT,09/01/13,46.22
AFLT,10/01/13,47.19
AFLT,11/01/13,47.16
AFLT,12/01/13,48.0
AFLT,15/01/13,49.53
AFLT,16/01/13,49.45
AFLT,17/01/13,48.34
AFLT,18/01/13,49.84
AFLT,19/01/13,49.88
AFLT,22/01/13,50.55
AFLT,23/01/13,51.6
AFLT,24/01/13,52.65
AFLT,25/01/13,52.88
AFLT,26/01/13,53.3
AFLT,29/01/13,53.3
AFLT,30/01/13,51.69
AFLT,31/01/13,52.22
AFLT,01/02/13,53.55
AFLT,02/02/13,53.8
AFLT,05/02/13,52.65
AFLT,06/02/13,53.37
AFLT,07/02/13,54.07
AFLT,08/02/13,55.82
AFLT,09/02/13,55.9
AFLT,12/02/13,55.72
AFLT,13/02/13,55.08
AFLT,14/02/13,57.1
AFLT,15/02/13,57.01
AFLT,16/02/13,58.7
AFLT,19/02/13,58.7
AFLT,20/02/13,57.49
AFLT,21/02/13,55.72
AFLT,22/02/13,55.78
AFLT,23/02/13,55.3
AFLT,26/02/13,55.19
AFLT,27/02/13,54.25
AFLT,28/02/13,53.77
AFLT,01/03/13,53.0
AFLT,02/03/13,52.42
AFLT,05/03/13,52.6
AFLT,06/03/13,55.0
AFLT,07/03/13,55.89
AFLT,08/03/13,56.1
AFLT,12/03/13,56.3
AFLT,13/03/13,56.6
AFLT,14/03/13,56.58
AFLT,15/03/13,56.15
AFLT,16/03/13,54.39
AFLT,19/03/13,54.25
AFLT,20/03/13,54.25
AFLT,21/03/13,53.85
AFLT,22/03/13,54.2
AFLT,23/03/13,52.5
AFLT,26/03/13,51.11
AFLT,27/03/13,50.01
AFLT,28/03/13,50.25
AFLT,29/03/13,52.17
AFLT,30/03/13,52.99
AFLT,02/04/13,52.08
AFLT,03/04/13,52.04
AFLT,04/04/13,52.65
AFLT,05/04/13,54.06
AFLT,06/04/13,54.8
AFLT,09/04/13,53.75
AFLT,10/04/13,53.0
AFLT,11/04/13,53.32
AFLT,12/04/13,52.05
AFLT,13/04/13,52.3
AFLT,16/04/13,50.18
AFLT,17/04/13,49.98
AFLT,18/04/13,50.21
AFLT,19/04/13,52.47
AFLT,20/04/13,52.51
AFLT,23/04/13,51.78
AFLT,24/04/13,52.08
AFLT,25/04/13,53.28
AFLT,26/04/13,52.93
AFLT,27/04/13,52.7
AFLT,30/04/13,52.81
AFLT,01/05/13,53.9
AFLT,03/05/13,53.28
AFLT,04/05/13,53.0
AFLT,07/05/13,52.85
AFLT,08/05/13,52.49
AFLT,09/05/13,51.89
AFLT,11/05/13,51.7
AFLT,14/05/13,51.04
AFLT,15/05/13,50.15
AFLT,16/05/13,50.55
AFLT,17/05/13,50.25
AFLT,18/05/13,50.22
AFLT,21/05/13,49.66
AFLT,22/05/13,51.59
AFLT,23/05/13,52.6
AFLT,24/05/13,49.0
AFLT,25/05/13,50.1
AFLT,28/05/13,50.55
AFLT,29/05/13,52.04
AFLT,30/05/13,51.15
AFLT,31/05/13,51.6
AFLT,01/06/13,52.3
AFLT,04/06/13,50.5
AFLT,05/06/13,51.99
AFLT,06/06/13,52.09
AFLT,07/06/13,52.45
AFLT,08/06/13,53.47
AFLT,11/06/13,52.63
AFLT,12/06/13,50.8
AFLT,14/06/13,51.25
AFLT,15/06/13,53.46
AFLT,18/06/13,53.61
AFLT,19/06/13,54.3
AFLT,20/06/13,54.4
AFLT,21/06/13,52.55
AFLT,22/06/13,54.35
AFLT,25/06/13,53.41
AFLT,26/06/13,54.24
AFLT,27/06/13,55.3
AFLT,28/06/13,56.15
AFLT,29/06/13,56.7
AFLT,02/07/13,55.7
AFLT,03/07/13,58.0
AFLT,04/07/13,57.86
AFLT,05/07/13,58.22
AFLT,06/07/13,58.05
AFLT,09/07/13,58.97
AFLT,10/07/13,58.89
AFLT,11/07/13,58.63
AFLT,12/07/13,58.08
AFLT,13/07/13,57.9
AFLT,16/07/13,58.59
AFLT,17/07/13,57.8
AFLT,18/07/13,57.71
AFLT,19/07/13,57.55
AFLT,20/07/13,57.03
AFLT,23/07/13,56.99
AFLT,24/07/13,56.65
AFLT,25/07/13,55.49
AFLT,26/07/13,55.07
AFLT,27/07/13,55.11
AFLT,30/07/13,56.0
AFLT,31/07/13,56.41
AFLT,01/08/13,57.36
AFLT,02/08/13,58.4
AFLT,03/08/13,57.01
AFLT,06/08/13,56.13
AFLT,07/08/13,56.0
AFLT,08/08/13,55.39
AFLT,09/08/13,56.0
AFLT,10/08/13,55.96
AFLT,13/08/13,56.5
AFLT,14/08/13,56.51
AFLT,15/08/13,56.1
AFLT,16/08/13,55.22
AFLT,17/08/13,53.91
AFLT,20/08/13,54.19
AFLT,21/08/13,53.97
AFLT,22/08/13,52.86
AFLT,23/08/13,53.85
AFLT,24/08/13,54.0
AFLT,27/08/13,53.6
AFLT,28/08/13,52.61
AFLT,29/08/13,52.17
AFLT,30/08/13,50.51
AFLT,31/08/13,48.82
AFLT,03/09/13,48.5
AFLT,04/09/13,47.71
AFLT,05/09/13,47.74
AFLT,06/09/13,49.38
AFLT,07/09/13,49.47
AFLT,10/09/13,50.1
AFLT,11/09/13,50.77
AFLT,12/09/13,51.51
